column,nonzero_cohort_fused,matrix_rows_cohort_fused,nonzero_after_align,matrix_rows_after_align,nonzero_after_family_support,matrix_rows_after_family_support,nonzero_after_low_information_prune,matrix_rows_after_low_information_prune,nonzero_after_leakage_prune,matrix_rows_after_leakage_prune,dropped_by_low_information_prune,dropped_by_leakage_prune
perm__android_permission_receive_sms,372,1226,372,1226,276,1001,276.0,1001,276.0,1001,False,False
perm__android_permission_receive_user_present,33,1226,33,1226,28,1001,28.0,1001,28.0,1001,False,False
perm__android_permission_receive_wap_push,8,1226,8,1226,8,1001,8.0,1001,8.0,1001,False,False
perm__android_permission_record_audio,135,1226,135,1226,78,1001,78.0,1001,78.0,1001,False,False
perm__android_permission_reorder_tasks,34,1226,34,1226,23,1001,23.0,1001,23.0,1001,False,False
perm__android_permission_request_companion_profile_watch,8,1226,8,1226,8,1001,8.0,1001,8.0,1001,False,False
perm__android_permission_request_companion_run_in_background,19,1226,19,1226,9,1001,9.0,1001,9.0,1001,False,False
perm__android_permission_request_companion_start_foreground_services_from_background,13,1226,13,1226,13,1001,13.0,1001,13.0,1001,False,False
perm__android_permission_request_companion_use_data_in_background,23,1226,23,1226,12,1001,12.0,1001,12.0,1001,False,False
perm__android_permission_request_delete_packages,243,1226,243,1226,193,1001,193.0,1001,193.0,1001,False,False
perm__android_permission_request_ignore_battery_optimizations,322,1226,322,1226,237,1001,237.0,1001,237.0,1001,False,False
perm__android_permission_request_install_packages,261,1226,261,1226,210,1001,210.0,1001,210.0,1001,False,False
perm__android_permission_request_password_complexity,19,1226,19,1226,15,1001,15.0,1001,15.0,1001,False,False
perm__android_permission_reset_password,11,1226,11,1226,11,1001,11.0,1001,11.0,1001,False,False
perm__android_permission_run_user_initiated_jobs,13,1226,13,1226,13,1001,13.0,1001,13.0,1001,False,False
perm__android_permission_schedule_exact_alarm,90,1226,90,1226,81,1001,81.0,1001,81.0,1001,False,False
perm__android_permission_send_sms,339,1226,339,1226,255,1001,255.0,1001,255.0,1001,False,False
perm__android_permission_set_activity_watcher,25,1226,25,1226,25,1001,25.0,1001,25.0,1001,False,False
perm__android_permission_set_alarm,2,1226,2,1226,0,1001,,1001,,1001,True,False
perm__android_permission_set_lock_task_packages,11,1226,11,1226,11,1001,11.0,1001,11.0,1001,False,False
perm__android_permission_set_time_zone,11,1226,11,1226,11,1001,11.0,1001,11.0,1001,False,False
perm__android_permission_set_wallpaper,83,1226,83,1226,66,1001,66.0,1001,66.0,1001,False,False
perm__android_permission_set_wallpaper_hints,36,1226,36,1226,20,1001,20.0,1001,20.0,1001,False,False
perm__android_permission_storage,12,1226,12,1226,0,1001,,1001,,1001,True,False
perm__android_permission_system_alert_window,294,1226,294,1226,213,1001,213.0,1001,213.0,1001,False,False
perm__android_permission_system_overlay_window,38,1226,38,1226,38,1001,38.0,1001,38.0,1001,False,False
perm__android_permission_transmit_ir,12,1226,12,1226,10,1001,10.0,1001,10.0,1001,False,False
perm__android_permission_type_application_overlay,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__android_permission_update_app_ops_stats,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__android_permission_update_device_stats,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__android_permission_update_packages_without_user_action,14,1226,14,1226,14,1001,14.0,1001,14.0,1001,False,False
perm__android_permission_use_biometric,54,1226,54,1226,48,1001,48.0,1001,48.0,1001,False,False
perm__android_permission_use_exact_alarm,31,1226,31,1226,27,1001,27.0,1001,27.0,1001,False,False
perm__android_permission_use_fingerprint,54,1226,54,1226,33,1001,33.0,1001,33.0,1001,False,False
perm__android_permission_use_full_screen_intent,151,1226,151,1226,131,1001,131.0,1001,131.0,1001,False,False
perm__android_permission_vibrate,250,1226,250,1226,210,1001,210.0,1001,210.0,1001,False,False
perm__android_permission_wake_lock,541,1226,541,1226,426,1001,426.0,1001,426.0,1001,False,False
perm__android_permission_write_apn_settings,25,1226,25,1226,25,1001,25.0,1001,25.0,1001,False,False
perm__android_permission_write_calendar,10,1226,10,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__android_permission_write_call_log,51,1226,51,1226,21,1001,21.0,1001,21.0,1001,False,False
perm__android_permission_write_contacts,92,1226,92,1226,56,1001,56.0,1001,56.0,1001,False,False
perm__android_permission_write_external_storage,294,1226,294,1226,214,1001,214.0,1001,214.0,1001,False,False
perm__android_permission_write_media_storage,4,1226,4,1226,4,1001,4.0,1001,4.0,1001,False,False
perm__android_permission_write_secure_settings,56,1226,56,1226,53,1001,53.0,1001,53.0,1001,False,False
perm__android_permission_write_settings,168,1226,168,1226,138,1001,138.0,1001,138.0,1001,False,False
perm__android_permission_write_sms,90,1226,90,1226,51,1001,51.0,1001,51.0,1001,False,False
perm__android_permission_write_sync_settings,134,1226,134,1226,118,1001,118.0,1001,118.0,1001,False,False
perm__android_permission_write_voicemail,4,1226,4,1226,4,1001,4.0,1001,4.0,1001,False,False
perm__aok_onekaoa_wokj_dynamic_receiver_not_exported_permission,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__caco333_ca_permission_c2d_message,3,1226,3,1226,3,1001,3.0,1001,3.0,1001,False,False
perm__cc_coolline_client_pro_service,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_anddoes_launcher_permission_read_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_anddoes_launcher_permission_update_count,41,1226,41,1226,29,1001,29.0,1001,29.0,1001,False,False
perm__com_anddoes_launcher_permission_write_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_android_alarm_permission_set_alarm,46,1226,46,1226,37,1001,37.0,1001,37.0,1001,False,False
perm__com_android_browser_permission_read_history_bookmarks,24,1226,24,1226,13,1001,13.0,1001,13.0,1001,False,False
perm__com_android_email_permission_access_provider,11,1226,11,1226,11,1001,11.0,1001,11.0,1001,False,False
perm__com_android_launcher2_permission_read_settings,26,1226,26,1226,26,1001,26.0,1001,26.0,1001,False,False
perm__com_android_launcher2_permission_write_settings,26,1226,26,1226,26,1001,26.0,1001,26.0,1001,False,False
perm__com_android_launcher3_permission_read_settings,26,1226,26,1226,26,1001,26.0,1001,26.0,1001,False,False
perm__com_android_launcher3_permission_write_settings,26,1226,26,1226,26,1001,26.0,1001,26.0,1001,False,False
perm__com_android_launcher_permission_install_shortcut,49,1226,49,1226,45,1001,45.0,1001,45.0,1001,False,False
perm__com_android_launcher_permission_read_settings,28,1226,28,1226,27,1001,27.0,1001,27.0,1001,False,False
perm__com_android_launcher_permission_uninstall_shortcut,40,1226,40,1226,40,1001,40.0,1001,40.0,1001,False,False
perm__com_android_launcher_permission_write_settings,27,1226,27,1226,26,1001,26.0,1001,26.0,1001,False,False
perm__com_android_mylauncher_permission_read_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_android_mylauncher_permission_write_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_android_permission_get_installed_apps,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_android_vending_billing,36,1226,36,1226,34,1001,34.0,1001,34.0,1001,False,False
perm__com_applovin_array_apphub_permission_bind_apphub_service,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_asus_msa_supplementarydid_access,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_bbk_launcher2_permission_read_settings,6,1226,6,1226,6,1001,6.0,1001,6.0,1001,False,False
perm__com_bbk_launcher2_permission_write_settings,6,1226,6,1226,6,1001,6.0,1001,6.0,1001,False,False
perm__com_bilibili_app_in_permission_blkv,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_coloros_alarmclock_permission_access_provider,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_coloros_backuprestore_dynamic_receiver_not_exported_permission,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_coloros_bootreg_permission_oppo_bootreg_completed,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_coloros_codebook_permission_read,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_coloros_operationmanual_permission_tipsprovider,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_diksaq_zdawvr_permission_read_settings,3,1226,3,1226,3,1001,3.0,1001,3.0,1001,False,False
perm__com_diksaq_zdawvr_permission_write_settings,3,1226,3,1226,3,1001,3.0,1001,3.0,1001,False,False
perm__com_ebproductions_android_launcher_permission_read_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_ebproductions_android_launcher_permission_write_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_eigho_jaiyo_dynamic_receiver_not_exported_permission,3,1226,3,1226,3,1001,3.0,1001,3.0,1001,False,False
perm__com_eporner_epang_permission_read_settings,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_eporner_epang_permission_write_settings,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_fede_launcher_permission_read_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_fede_launcher_permission_write_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_fourforb_aabeij_dynamic_receiver_not_exported_permission,3,1226,3,1226,3,1001,3.0,1001,3.0,1001,False,False
perm__com_fundevs_app_mediaconverter_dynamic_receiver_not_exported_permission,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_google_android_apps_photos_permission_google_photos,4,1226,4,1226,4,1001,4.0,1001,4.0,1001,False,False
perm__com_google_android_c2dm_permission_receive,162,1226,162,1226,143,1001,143.0,1001,143.0,1001,False,False
perm__com_google_android_finsky_permission_bind_get_install_referrer_service,170,1226,170,1226,144,1001,144.0,1001,144.0,1001,False,False
perm__com_google_android_gms_permission_activity_recognition,18,1226,18,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_google_android_gms_permission_ad_id,45,1226,45,1226,35,1001,35.0,1001,35.0,1001,False,False
perm__com_google_android_providers_gsf_permission_read_gservices,9,1226,9,1226,9,1001,9.0,1001,9.0,1001,False,False
perm__com_gzrtnq_bumble_permission_read_settings,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_gzrtnq_bumble_permission_write_settings,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_gzrtnq_snapschat_permission_read_settings,3,1226,3,1226,3,1001,3.0,1001,3.0,1001,False,False
perm__com_gzrtnq_snapschat_permission_write_settings,3,1226,3,1226,3,1001,3.0,1001,3.0,1001,False,False
perm__com_htc_launcher_permission_read_settings,33,1226,33,1226,21,1001,21.0,1001,21.0,1001,False,False
perm__com_htc_launcher_permission_update_shortcut,28,1226,28,1226,16,1001,16.0,1001,16.0,1001,False,False
perm__com_htc_launcher_permission_write_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_huawei_android_launcher_permission_change_badge,28,1226,28,1226,16,1001,16.0,1001,16.0,1001,False,False
perm__com_huawei_android_launcher_permission_read_settings,33,1226,33,1226,21,1001,21.0,1001,21.0,1001,False,False
perm__com_huawei_android_launcher_permission_write_settings,33,1226,33,1226,21,1001,21.0,1001,21.0,1001,False,False
perm__com_huawei_appmarket_service_commondata_permission_get_common_data,13,1226,13,1226,8,1001,8.0,1001,8.0,1001,False,False
perm__com_huawei_launcher2_permission_read_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_huawei_launcher2_permission_write_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
